epoch,train_loss,loss_classifier,loss_box_reg,loss_mask,loss_objectness,loss_rpn_box_reg,val_AP,val_AP50,val_AP75,lr,grad_norm,secs
0,83.64888866742452,1.4816583671740122,1.0559706081237112,0.9428616293839046,61.850348131997244,16.2061089632057,9.993011322644444e-06,5.767818161126457e-05,4.541738577527478e-06,8.030329381144663e-06,nan,196.72880744934082
1,5.268976509571075,0.40773144524012295,0.2392459236794994,0.46584681882744744,1.5462329330898466,2.131427532682816,0.00012196924740450683,0.0009706853038245001,2.6332420476090162e-05,8.121298360591915e-06,141.057551247733,139.1244649887085
0,49.9336411626566,1.129789561033249,0.7207716250171264,0.7759034729429654,35.87948771353279,9.986145582316178,0.000332272621684312,0.002828854314002828,0.0,8.030323604148756e-06,nan,270.5001301765442
1,3.1973656643004644,0.4125732323598294,0.26720440334507395,0.4335323135767664,0.8483589476063138,0.7012879396345288,0.0004775397773908944,0.001800018842759247,4.0379241839355226e-06,8.121275259908114e-06,105.37771254494076,166.25708198547363
2,2.0806943532966433,0.3655523393480551,0.231090254244572,0.40922571860608603,0.32767618678155397,0.28496936628861086,0.011505328550959164,0.04112928047153052,0.005728113080275307,8.272797509319629e-06,58.62682525316874,163.84492325782776
3,1.8335872576350258,0.3188792854503152,0.22239905192206302,0.3787134140729904,0.24763638118193262,0.2211610202544502,0.021516972767068217,0.07478008948839589,0.006606494074250052,8.484794629451848e-06,43.66566870326088,151.79103446006775
4,1.7145501630646842,0.3036446814824428,0.2175704433715769,0.3601739981344768,0.20473488641991502,0.19328526542743757,0.025681427626740912,0.08139529110097286,0.008106693329772199,8.757132692872448e-06,37.2004664398375,129.27302169799805
5,1.71928899203028,0.28040382975623723,0.2530177283943409,0.3470113142615273,0.16739970057581863,0.1654209567544361,0.037732913304894214,0.12870522131578715,0.006902188882365378,9.089639652255826e-06,29.98213433084034,131.21293663978577
6,1.7477459084419977,0.27645006332369076,0.27573564041051124,0.3413014963624023,0.1497724905632259,0.15301493601873517,0.060327681564709065,0.156730760555895,0.033421710155224445,9.482105449072463e-06,29.30949456351144,123.36053514480591
7,1.6713221144108545,0.26023135529387564,0.2661411831421511,0.31978141232615426,0.14533215390318738,0.14755364979750343,0.09566634298607868,0.23919167735148242,0.053412692581973446,9.934282146291916e-06,26.247215736479987,116.32170295715332
8,1.671558800197783,0.2582785181168999,0.27356091390053433,0.3069065986644654,0.13985068852170593,0.14584023672865615,0.12629338666064538,0.26726293201352996,0.08827427328455269,1.0445884085014763e-05,24.90828960282462,104.56288146972656
9,1.6669627953143347,0.2536174434104136,0.27892045996018816,0.3062594944522494,0.12898997213536254,0.1413345051641088,0.12334442785700873,0.2942203123485372,0.07879569697541336,1.101658806493532e-05,24.862070662634714,121.59987711906433
10,1.5866794525867416,0.2516424192248711,0.25587725648213,0.2974965533330327,0.1282317896520475,0.1416769285486745,0.14550186228423476,0.3298138958839067,0.09439369429879067,1.1646033548520844e-05,23.080203113101778,127.7170021533966
11,1.618790240514846,0.2508346067209329,0.2681855436059691,0.29767020756290075,0.12294974708042684,0.14277904319931708,0.13138884376344312,0.3236563334778611,0.06334079207960015,1.2333822888778038e-05,23.189203182856243,120.31613779067993
12,1.6617719594921385,0.2635048560443379,0.28483524448460057,0.283174818115575,0.10783455973779339,0.1527519768791362,0.13849637602659065,0.3031848002446402,0.09573829970219411,1.307952158046335e-05,23.53846542040507,105.19813680648804
13,1.5284291129736673,0.23268643207848072,0.24253624693180123,0.2792951399016948,0.12028078531425092,0.16855800870273793,0.15838310497800362,0.3386148560224969,0.12276404658612194,1.388265853457797e-05,20.349369111515227,127.52715015411377
14,1.586270683932872,0.2482908270100043,0.2623420173657082,0.27819157391786575,0.10764950287661382,0.16511271644516715,0.1744898380032631,0.35453347343951186,0.14565050199307628,1.4742726375974522e-05,20.1366841395696,112.75073218345642
15,1.6087887460986774,0.2528870842818703,0.270026218611747,0.27888347900339533,0.10273357615889316,0.1642059661514525,0.20356443255256448,0.40888170731778434,0.17924141133754984,1.565918176388718e-05,20.86588854449136,118.31222176551819
16,1.5851877030162584,0.244445787299247,0.27091754327661227,0.27298815459722564,0.09502904377655969,0.1599720958121387,0.19213686957945378,0.40223055883140657,0.15103816028223516,1.6631445735182458e-05,20.978701165744237,125.48580718040466
17,1.5139880531600542,0.24287124428277215,0.2466948437282727,0.2711440787783691,0.09524818745419561,0.16463999504533908,0.2151500106938066,0.40736083885012336,0.21032174966437014,1.7658904070114655e-05,17.876136240505037,109.55569338798523
18,1.4757971185303869,0.23063522240235693,0.24581258925831034,0.26389651461726144,0.08637018326858413,0.1574574312793889,0.19512327535389223,0.4155444594662938,0.14476061325797127,1.8740907680354137e-05,17.807065362022037,123.02778482437134
19,1.4613810649939947,0.2238366853090979,0.24335354859275476,0.26251385857661563,0.09036714427029005,0.15460272916104822,0.21719137641785657,0.4237462858427903,0.19957121022416363,1.987677301904317e-05,17.837616625286284,108.57331824302673
20,1.4729152151516505,0.22532950505791677,0.2467218759868826,0.26571558894855635,0.08778370705909938,0.1539207708999692,0.21926395414173136,0.41842294846267636,0.2238871390389442,2.1065782512621502e-05,18.10907841296423,124.79441976547241
21,1.4092534308632214,0.22445972086418242,0.23002437972241924,0.2639625414851166,0.08191066520244238,0.14884736349007913,0.21838712557931514,0.41812248894284787,0.19697080359232233,2.2307185014147152e-05,18.059639624186925,118.66187310218811
22,1.4183439126326924,0.21858657160330386,0.2423170574807695,0.25506616614404176,0.07564990269713148,0.1420901090328005,0.1983800188293267,0.3896392198608304,0.1927669256972592,2.3600196277827546e-05,17.803815160478866,113.09205412864685
23,1.3785311845796449,0.22042682190381346,0.22044628756564288,0.2636226263074648,0.08121611141749392,0.1519267717043736,0.24294433637871657,0.44377892731879676,0.24678489350313793,2.4943999454460174e-05,16.67222673552377,119.78139138221741
24,1.3514344642559688,0.2090946263855412,0.22189356249180578,0.2598714558851151,0.07523492042465867,0.1415527791361369,0.21011547820990606,0.40970707430231396,0.19011416128544914,2.6337745607470407e-05,16.778568023727054,129.96483874320984
25,1.3207859350811868,0.2007532128398972,0.2115638425928496,0.257318306182112,0.08400398796463075,0.14401890452773797,0.24087909593844226,0.44837518450403524,0.23703962754039268,2.778055424922015e-05,15.878207246462503,114.91025185585022
26,1.2970499087657248,0.19659485570376828,0.21069833702806914,0.2527335963788487,0.07225448133180007,0.14337195337395228,0.24761123461122547,0.44927431864300965,0.2573601764757069,2.927151389724874e-05,14.757702847321829,108.12133860588074
27,1.2936507218650408,0.20361967242899395,0.21025824848385083,0.2548834481054828,0.06818317483356666,0.1361896731957261,0.2342526320903267,0.4473305571604095,0.2252920624663402,3.080968265009427e-05,14.415998044468108,119.90641736984253
28,1.3545293974734487,0.23194822735552276,0.22447914692262808,0.2510356340734732,0.06500962180074393,0.13309847319587356,0.22275998876910805,0.4288759260027154,0.1909833803819657,3.239408878233228e-05,15.125168510845729,127.97814512252808
29,1.3164210922661281,0.20892810577615387,0.21633520059376246,0.2572027666582948,0.07063407879987997,0.1306505428094949,0.2001074225622031,0.38640463310083495,0.18849147521455412,3.402373135845516e-05,15.188861827055613,122.44822192192078
30,1.293036498838947,0.209864990852241,0.2070438429447157,0.24812822327727363,0.07092559165764778,0.14298616743291773,0.2276548277418156,0.44001444905956766,0.22362259020405598,3.569758086520498e-05,14.16907737368629,116.94382762908936
31,1.298032096808865,0.20709656992749798,0.21366431368958383,0.25126931018063,0.06325866660890392,0.13541460362639987,0.1932266883949852,0.38131901381871336,0.17109727672144162,3.741457986195987e-05,14.00914740562439,114.43148279190063
32,1.294954192070734,0.2178241160831281,0.2151349445006677,0.24901863684256872,0.05699376080606487,0.1257128262604099,0.26157738485413995,0.4724670104828546,0.2552628726461668,3.9173643648763586e-05,13.638180834906441,107.88021636009216
33,1.2783806629124141,0.1997128306843695,0.20931165581125588,0.25388141845663387,0.06517354189418256,0.13167789998641682,0.22523345056771935,0.4266272425527817,0.22353139411017972,4.097366095157562e-05,12.963669135456993,121.99474096298218
34,1.2818685457819985,0.21030743140727282,0.20504385532279099,0.24817563167640141,0.062484346650308,0.14576955978658848,0.232219010948902,0.4292843113262269,0.22801475646135247,4.28134946243095e-05,13.176097594556355,109.42571139335632
